attendance_percentage,assignment_completion_rate,internal_marks,study_hours_per_week,previous_gpa,participation_score,risk_label
62.472407130841745,42.959305018703375,48.31939786151342,28.54460479731143,7.431975269701557,4.542719682496979,1
97.04285838459498,67.93306631648507,47.28851593503999,32.88384890169803,8.832593975799918,5.260920934375193,0
83.9196365086843,91.10620851134857,93.43782063647257,13.766376457737465,8.560965578740955,8.690926538819623,0
75.91950905182219,81.25574204866928,47.46823398946543,26.87059348624496,4.923399428162642,4.060039474539029,1
49.36111842654619,86.45928035030148,49.03648082900417,25.011109410031203,4.895496818448843,8.826847163309541,1
49.35967122017216,76.11483566975022,83.15787836925746,34.14906318758949,5.60904620646948,1.7932098787902233,1
43.48501673009197,78.45935951624966,61.481788971537796,36.71304711684412,6.166448358046223,7.991185934877676,0
91.97056874649611,89.44369560957236,84.36973898686269,5.425487001708539,6.450733488450895,8.627928697492628,0
76.06690070459253,47.47676062014301,34.575631029506965,28.590697167057744,8.078183301000072,2.6363588755360485,1
82.48435466776273,64.25974745501983,64.12998355713691,6.814252969190516,4.340082592995012,4.873118791349804,1
41.23506965774815,45.484660927372154,32.35295201282978,24.21005327770746,4.208036225356398,2.4894979719729005,1
98.19459112971967,99.13676055976529,34.38572424187482,15.067145516528736,6.351463377663454,7.35943716094796,0
89.94655844802531,96.08415377806293,93.45062173410876,15.737180983274943,8.182982152827883,5.818129912554911,0
52.74034664069657,32.759876795795414,39.74717597823166,17.35354762083248,5.160612057738895,6.717910120374889,1
50.909498032426036,79.3902620760982,67.2694477592652,26.745235716736353,7.84902688753751,2.7683827026059005,0
51.00427059120603,94.7673822190966,58.77669218204946,16.691748798406923,5.558968827641797,2.9057127584717755,1
58.254534577572265,42.64027415891334,54.31403283811899,30.644466770659815,9.316516652881099,1.3734759295891572,1
71.48538589793426,69.75616613868407,92.98833419810907,19.15845849508544,9.3741396655997,3.8986078167615674,0
65.91670111852694,94.08418083116293,31.527637774284266,7.392362010848552,5.783723225687959,6.037701952003075,1
57.47374841188251,32.37621850100592,76.46527803229124,32.43159448694375,5.379962523779443,8.721414225975959,1
76.71117368334276,78.8194187072788,97.43761039494854,15.00154136074471,6.467823832397388,7.002347027128127,0
48.36963163912251,50.81443051607855,69.21177284232894,20.14684078597419,5.4431895110808926,4.918566910597763,1
57.528678912113094,94.70773367635712,95.57757234231643,28.990535912766553,8.034303059750222,9.57808102954724,0
61.9817105976215,97.97407716157575,33.65805155002166,16.635965500204918,8.956388107289714,7.473206805182487,0
67.36419905302216,96.09865423794038,59.31553233519129,6.980497965135047,8.038552785467303,9.37148682576295,0
87.11055768358082,63.194995166022466,48.21104536734358,18.087236645448478,8.946102683496097,5.748291759449491,0
51.98042692950158,90.34298556925194,81.15746754865108,38.05570039430062,6.381952973244845,3.3301384731382564,0
70.8540663048167,89.11845789745493,98.69079633480726,27.460703905449538,4.937901824253165,1.4754401772824979,0
75.54487413172255,52.337033127027894,47.957104371097344,28.501770203352244,8.427705684385554,7.534763663354655,1
42.78702476319987,88.02408319054742,75.79222210318521,27.129875377317394,6.162847030849323,2.0917269820498072,0
